Energy Source,mean,sum,std,Share (%)
Bioenergy,9.28,2738.16,0.94,0.4
Clean,229.36,67660.04,42.64,9.4
Coal,244.05,71994.69,85.34,10.0
Fossil,451.74,133263.67,67.23,18.5
Gas,197.44,58245.41,74.96,8.1
Gas and Other Fossil,207.69,61268.98,71.67,8.5
Hydro,43.46,12819.46,7.86,1.8
"Hydro, Bioenergy and Other Renewables",55.69,16429.62,8.15,2.3
Nuclear,131.59,38820.01,9.57,5.4
Other Fossil,10.25,3023.58,6.24,0.4
Other Renewables,2.96,872.0,0.22,0.1
Renewables,97.76,28840.03,41.97,4.0
Solar,12.51,3389.29,17.7,0.5
Total Generation,681.1,200923.71,73.1,27.8
Wind,30.58,9021.12,26.27,1.2
Wind and Solar,42.07,12410.42,41.66,1.7
